Facility Name,State where Emissions Occur,Reported County,Carbon emissions (non-biogenic)
Ameren Illinois,IL,PEORIA COUNTY,1102.6
Ameren Missouri,MO,ST. LOUIS CITY,17.9
Atlanta Gas Light Company,GA,FULTON COUNTY,11793.4
Atmos Energy Corporation - Colorado,CO,DALLAS COUNTY,19.3
Atmos Energy Corporation - Kansas,KS,DALLAS COUNTY,28.1
Atmos Energy Corporation - Kentucky,KY,DALLAS COUNTY,29.4
Atmos Energy Corporation - Louisiana,LA,DALLAS COUNTY,60.5
Atmos Energy Corporation - Mississippi,MS,DALLAS COUNTY,67.7
Atmos Energy Corporation - Tennessee,TN,DALLAS COUNTY,21.5
Atmos Energy Corporation - Texas,TX,DALLAS COUNTY,617.5
Atmos Energy Corporation- Virginia,VA,DALLAS COUNTY,3.2
Avista Corporation-WA,WA,SPOKANE COUNTY,19.4
Baltimore Gas & Electric Company,MD,BALTIMORE CITY,958.9
Batesville Water & Gas Utility,IN,RIPLEY COUNTY,0.5
Benton Gas System,KY,MARSHALL COUNTY,1.7
"Black Hills Colorado Gas, Inc. dba Black Hills Energy",CO,EL PASO COUNTY,40.9
Black Hills Energy Arkansas LLC.,AR,JEFFERSON COUNTY,209.3
"Black Hills Nebraska Gas, LLC. dba Black Hills Energy",NE,LANCASTER COUNTY,66.4
Boston Gas Company,MA,MIDDLESEX COUNTY,442.6
CON EDISON - NATURAL GAS DELIVERY SYSTEM,NY,NEW YORK COUNTY,899.4
CPS Energy Natural Gas System,TX,,35.1
Cairo Public Utility,IL,,0.7
Cascade Natural Gas Coporation - Washington,WA,BENTON COUNTY,674.7
Cedar Falls Municipal Gas Utility,IA,BLACK HAWK COUNTY,1.4
CenterPoint Energy Arkla (Louisiana),LA,HARRIS COUNTY,19.2
CenterPoint Energy Arkla (Texas),TX,HARRIS COUNTY,2.0
CenterPoint Energy Entex (Louisiana),LA,HARRIS COUNTY,16.9
CenterPoint Energy Entex (Mississippi),MS,HARRIS COUNTY,23.7
